,Date,Open,High,Low,Close,Adj Close,Volume,Returns,MovingAverage_50,MovingAverage_200,VolumeChange,VolumeMovingAverage_50,VolumeMovingAverage_200,MarketReturns,CAPM,HighLowRange,HighCloseRange,LowCloseRange,Volatility,RSI,Momentum,VolumeMovingAverage_10,PriceLag_1,ReturnLag_1,PriceLag_3,ReturnLag_3,PriceLag_5,ReturnLag_5,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,UNRATE,"('Adj Close', 'BYD')","('Adj Close', 'VWAGY')","('Close', 'BYD')","('Close', 'VWAGY')","('High', 'BYD')","('High', 'VWAGY')","('Low', 'BYD')","('Low', 'VWAGY')","('Open', 'BYD')","('Open', 'VWAGY')","('Volume', 'BYD')","('Volume', 'VWAGY')"
2854,28-10-2021,356.1033325,360.3333435,351.3999939,359.0133362,359.0133362,81639600,0.037750749,263.4917349,238.4386006,-0.293649825,61850652,79838731.5,0.002120676,0.020037644,8.933349609,14.38000488,-5.446655273,5.955566406,96.11817128,86.23999023,95974230,345.9533386,0.019078439,341.6199951,0.126615984,298,0.032571011,1.14,0.82,-0.5,-0.33,-0.17,0,1.06831,4.5,63.71959305,26.9331398,64.91000366,33.25,67.26000214,33.61000061,64.47000122,31.52000046,67.26000214,31.59000015,1799500,1400300
2855,29-10-2021,360.6199951,371.7366638,357.7366638,371.3333435,371.3333435,89755200,0.034316294,266.4286017,238.8869341,0.09940764,62786946,79818513,0.002120676,0.02003036,14,12.72332764,1.276672363,9.333333333,96.45987451,90.32333374,99272370,359.0133362,0.037750749,339.4766541,-0.00627405,303.2266541,0.017539108,0.22,0.14,-0.83,0.55,-0.8,0,1.06673,4.5,62.61031342,26.41472816,63.77999878,32.61000061,65.5,33.04999924,63.20000076,32.33399963,64.55999756,32.90999985,1405800,410400
2856,01-11-2021,381.6666565,403.25,372.8866577,402.8633423,402.8633423,168146100,0.084910228,269.950802,239.5243175,0.873385609,65259354,80077579.5,0.002120676,0.020137654,30.36334229,31.91665649,-1.553314209,20.24222819,97.12920259,112.8266602,108824820,371.3333435,0.034316294,345.9533386,0.019078439,341.6199951,0.126615984,0.51,2.05,0.44,-1.12,0.03,0,1.05226,4.2,64.23988342,27.11134529,65.44000244,33.47000122,66.12000275,33.47000122,63.77000046,32.93999863,64.12000275,32.93999863,1400500,530900
2857,02-11-2021,386.4533386,402.8633423,382,390.6666565,390.6666565,128213400,-0.030274995,273.0554684,240.0700674,-0.237488113,66607728,80338141.5,0.002120676,0.019893383,20.86334229,0,20.86334229,13.90889486,89.34674099,102.5766602,116431830,402.8633423,0.084910228,359.0133362,0.037750749,339.4766541,-0.00627405,0.24,-0.32,-0.54,0.41,0.14,0,1.04509,4.2,64.10243988,27.07084084,65.30000305,33.41999817,66.44999695,33.56999969,64.81999969,33.15999985,65.87999725,33.55899811,1276200,558000
2858,03-11-2021,392.4433289,405.1300049,384.206665,404.6199951,404.6199951,103885500,0.035716738,276.4246017,240.6757507,-0.189745378,67900452,80472580.5,0.002120676,0.02003333,20.92333984,14.46334839,6.459991455,13.94889323,90.09445002,116.019989,122610750,390.6666565,-0.030274995,371.3333435,0.034316294,345.9533386,0.019078439,0.8,1.44,-0.12,0.21,-0.39,0,1.03725,4.2,66.22283173,27.52445221,67.45999908,33.97999954,67.84999847,34.02000046,64.76000214,33.24499893,65.09999847,33.27000046,1688000,429300
2859,04-11-2021,411.4700012,414.4966736,405.6666565,409.9700012,409.9700012,76192200,0.013222298,279.8826685,241.3172841,-0.26657522,68665560,80545725,0.002120676,0.019985627,8.83001709,9.876678467,-1.046661377,5.88667806,89.91743444,111.9700012,120785520,404.6199951,0.035716738,402.8633423,0.084910228,359.0133362,0.037750749,0.39,-0.28,-1.37,0.65,-0.72,0,1.02873,4.2,62.93426132,27.54065323,64.11000061,34,68.04000092,34.41999817,63.66999817,33.61000061,67.69999695,34.40999985,1763500,351400
2860,05-11-2021,409.3333435,413.2900085,402.6666565,407.3633423,407.3633423,64886400,-0.00635817,283.3555353,241.9430342,-0.148385268,69170430,80569159.5,0.002120676,0.019944103,10.62335205,3.320007324,7.303344727,7.082234701,87.81963958,104.1366882,120409920,409.9700012,0.013222298,390.6666565,-0.030274995,371.3333435,0.034316294,0.38,0.79,1.19,0.01,1.3,0,1.01953,4.2,66.19337463,28.05906677,67.43000031,34.63999939,68.27999878,34.63999939,66,34.18999863,66.01000214,34.45000076,1527900,337500
2861,08-11-2021,383.2633362,399,377.6666565,387.6466675,387.6466675,100337100,-0.04840071,286.3623352,242.4132675,0.546350237,70347144,80453244,0.002120676,0.019854944,21.33334351,-8.363342285,29.69668579,14.222229,78.79301181,46.02667236,111588000,407.3633423,-0.00635817,404.6199951,0.035716738,402.8633423,0.084910228,0.18,0.02,0.07,-0.5,-0.08,0,0.987803,4.2,63.1894989,26.8051548,64.37000275,33.09199905,67.51999664,33.54000092,64.23000336,32.75600052,67.38999939,33.29999924,1028300,951200
2862,09-11-2021,391.2000122,391.5,337.1733398,341.1666565,341.1666565,177317400,-0.119903033,288.3129349,242.6472841,0.767216712,72777240,80992857,0.002120676,0.019703311,54.32666016,3.85333252,50.47332764,36.21777344,62.00955798,1.690002441,110595240,387.6466675,-0.04840071,409.9700012,0.013222298,390.6666565,-0.030274995,-0.35,-0.15,0.45,0.58,0.28,0,0.975817,4.2,62.66921234,26.79867554,63.84000015,33.08399963,65.22000122,33.29999924,63.08000183,32.90000153,64.27999878,33.27000046,898900,382000
2863,10-11-2021,336.8033447,359.3666687,329.1033325,355.9833374,355.9833374,128408100,0.043429452,290.5278015,242.9869341,-0.275829106,74094078,81224887.5,0.002120676,0.020049686,30.26333618,18.20001221,12.06332397,20.17555745,62.92712279,10.02999878,111878100,341.1666565,-0.119903033,407.3633423,-0.00635817,404.6199951,0.035716738,-1.07,-0.31,0.93,1.38,-0.08,0,0.963114,4.2,61.9624176,26.34182549,63.11999893,32.52000046,65,33.04999924,62.75999832,32.47000122,63.34999847,32.95000076,841200,490800
